id;start_date;end_date;language
1;2023-03-24T08:21:04;2023-03-24T06:11:19;ENGLISH
2;2023-03-23T17:48:39;2023-03-24T03:14:08;FRENCH
3;2023-03-24T03:44:51;2023-03-23T15:49:59;SPANISH
4;2023-03-24T08:15:40;2023-03-23T13:41:59;FRENCH
5;2023-03-24T10:32:03;2023-03-23T18:51:01;ENGLISH
6;2023-03-23T20:02:46;2023-03-24T10:03:06;SPANISH
7;2023-03-24T04:06:34;2023-03-23T14:40:43;FRENCH
8;2023-03-23T18:32:27;2023-03-23T15:08:16;FRENCH
9;2023-03-23T19:24:05;2023-03-24T06:55:31;FRENCH
10;2023-03-23T15:21:03;2023-03-24T08:18:32;FRENCH
